trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00939429	0.00922
-0.0056	-0.0767	0.0106	-0.0004188790204786391	-0.00017278759594743863	-0.0002181661564992912	1.11727095	49.60738754	1.04663734	0.13339163864626843	0.00917321	0.00215
0.0047	0.1527	0.0219	-0.0005515240436302081	0.0004380776422505767	-1.3962634015954635e-05	1.50965726	67.02954102	1.2338259	0.298385689191646	0.00866354	0.00043
-0.0005	0.0058	-0.005	-0.0015865042900628454	0.000450294947014537	8.552113334772214e-05	1.26473689	56.154953	1.09434646	0.23633406592801373	0.00601768	6e-05
-0.0005	0.2048	0.0131	-0.00182212373908208	0.0004974188368183839	-0.00015533430342749534	1.32923877	59.01886749	1.12349057	0.24327993877991497	0.00853211	0.00017
-0.007	0.0745	-0.0138	-0.0016807520696705393	0.0002513274122871834	-0.0005305800926062762	1.16042447	51.52342606	1.03922214	0.20183544415607613	0.00666595	0.00014
-0.0133	0.1256	-0.0047	-0.0015882496193148398	0.0001256637061435917	-0.0009197885158010115	0.99347752	44.11090088	0.95661224	0.09686872898470131	0.00772673	0.00015
-0.0197	0.1023	-0.0285	-0.0014224433403753785	2.96705972839036e-05	-0.0011833332328521555	0.97214317	43.16364288	0.94761983	0.07976720524251465	0.00790977	0.00017
-0.0295	0.0565	-0.0186	-0.0013124875974997359	-4.363323129985824e-05	-0.0014957471689591403	1.00482237	44.61461639	0.96608985	0.09028367537831944	0.00857675	0.00022
-0.0342	0.1667	-0.0091	-0.0012252211349000194	-0.00032812189937493397	-0.0018081611050661253	1.10236835	48.94570541	1.00899903	0.15860845333908885	0.0102099	0.00038
-0.0355	-0.0096	-0.0173	-0.0011798425743481666	-0.00021118483949131387	-0.0017383479349863521	1.29016042	57.28377151	1.09943648	0.19740643952576223	0.00954431	0.00037
-0.0354	0.167	0.0046	-0.0012112585008840647	-0.00028099800957108706	-0.0018605209826259553	1.29685056	57.58081436	1.09575414	0.2097701072127637	0.00995445	0.00023
